id,alias
AfTnp-dfdrfFKlKAV7TEeg,jeons-world-martial-arts-north-salt-lake
_29zENbET2hHStARZXjuPw,skills-fitness-bountiful
PrmP4BcjzTL6PHCx8Mp6gw,south-davis-recreation-center-bountiful
U32L76cQU5ALKveCK9yi6w,unite-fitness-retreat-salt-lake-city
eEEzYf2DU-OSmtrdXJoxOQ,anytime-fitness-bountiful
J6gCLztYZ9eW2Q16Yqdvgg,salt-lake-power-yoga-salt-lake-city
mt399YvS9tpeUfJbtHZa3w,peak-45-salt-lake-city-2
wzHhnR12LZtQwiJ09h1Q9g,salt-lake-city-crossfit-salt-lake-city
SKxT_n9Ms2DUc3IWMy8KlQ,mcycle-salt-lake-city
u5gYh0uiliDMtoYmrHjl8g,trumotion-martial-arts-bountiful-bountiful
ucwOem5C_JcD7JrikTlhjg,glow-salt-lake-city
tQPDnYmd5E902AuT1Mwrxw,utah-self-defense-and-fitness-bountiful
Bb8-oxlLt88UlrzK6wQlaQ,lila-studio-salt-lake-city
OYoA4EZRRYWkt5ZxruH9dg,
5-PTBu1gAaZWB6fm2GuD0g,fight-city-south-salt-lake
Li6CtwWPTXLlE6c2SgdGkg,vasa-fitness-bountiful-bountiful-4
SV4gDjI8DWU5eiAKcmV6tw,corepower-yoga-salt-lake-city-6
dV6X2M5H_Y3Tk2L-OKToIQ,bouldering-project-salt-lake-city-3
q1HZPV5PcAJXFtmCDFEb5A,combat-arts-strength-and-conditioning-salt-lake-city
U8UiAHAeQNdlxjRNoxagWA,big-johns-pro-gym-bountiful
KNRNP2USa3wik3Anjlo0gg,alliance-jiu-jitsu-bountiful-2
3KzaIg4IidGPwJkSr5NQTA,maven-strong-salt-lake-city
zzxHJvjPCxqq7A5aQJAYEw,legends-boxing-bountiful-bountiful-3
rjng9AXY5nj219cq0mCW7w,mushin-self-defense-north-salt-lake
0bjYxvjqJLgwjpio_CWYUQ,club-pilates-bountiful
uI10m5PrrohC9XJug_uy2w,bernales-institute-of-martial-arts-salt-lake-city
0o0C5BCQWSPdu38vkj7OkA,rebel-house-salt-lake-city-4
onG6a5MFny2-J0HnzHlDwA,sri-shala-salt-lake-city-2
wqsR4bDDV_frkHbQs2hXfA,seek-studio-salt-lake-city
tBSMjAjycSiePXIn7NAR5Q,total-body-pilates-salt-lake-city
1FVVSdGFpbqND1C38CKlFA,barre3-salt-lake-city-2
O0zwaHiBc_3JoJRDkqMHNQ,orangetheory-fitness-salt-lake-city-4
TlnNVgPMdmv6fyV1Kh5TGw,the-front-climbing-club-salt-lake-city-salt-lake-city
6C1YKqLnsXajnhYOKsnYoQ,blonde-runner-health-bountiful
PKEFzsT02Uhm-vgJO3HfEw,corepower-yoga-salt-lake-city-7
1PXsk1GNSsHOZpf6Kjo_Tw,title-boxing-club-salt-lake-city
