name,zip_code,latitude,longitude,rating,review_count,category,has_online_services,distance,total_pop,median_income,bachelors_degrees,median_age,pct_bachelors
Wyo Faction,82901,41.57911,-109.23309,0.0,0,brazilianjiujitsu,0,83347.76307550652,,,,,
Synergy Fitness and Wellness,82901,41.5862312316895,-109.218765258789,0.0,0,gyms,0,84211.74876623496,,,,,
Complete Fitness Personal Training Professionals,82901,41.5449702400182,-109.227077029645,0.0,0,healthtrainers,0,79602.4079099297,,,,,
Pineda's Kenpo Karate,82935,41.49691,-109.45995,0.0,0,karate,0,74935.49486098425,,,,,
Cocoon Health Spa,82901,41.5743356198072,-109.244708865881,0.0,0,gyms,0,82752.09306730673,,,,,
Performance Sports Medicine & Physical Therpy,82935,41.498912,-109.47158,0.0,0,healthtrainers,0,75328.08713649632,,,,,
BeComplete Fitness,82901,41.5862,-109.22263,0.0,0,healthtrainers,0,84506.60155143976,,,,,
Grounded Moon,82901,41.595028,-109.223692,0.0,0,reiki,0,85171.27944797261,,,,,
Josh Clemens Fit,82901,41.574769,-109.249667,0.0,0,healthtrainers,0,82762.15836631296,,,,,
Alfa-Fit,82901,41.5489,-108.55036,0.0,0,weightlosscenters,0,94333.796840556,,,,,
btone FITNESS - Brickyard,84106,40.703322,-111.854507,5.0,5,pilates,0,47596.50659223762,33791.0,94452.0,8406.0,35.7,24.876446391050873
Alloy Personal Training Kaysville,84037,41.0388332,-111.9423854,0.0,0,healthtrainers,0,7075.254295504571,39316.0,130258.0,7756.0,34.1,19.727337470749823
Rays School Of Martial Arts,84037,41.04791,-111.94502,0.0,0,kickboxing,0,8063.18875139842,39316.0,130258.0,7756.0,34.1,19.727337470749823
The Shed Fit 365,84028,41.95016,-111.39309,5.0,1,gyms,0,2975.4618251731936,667.0,41964.0,52.0,38.7,7.796101949025487
Tucker Fitness Iron Gym,84321,41.69702,-111.86404,5.0,1,healthtrainers,0,39484.091350804076,49811.0,66262.0,5814.0,23.8,11.672120615928208
Spring Creek Fitness,84321,41.70872,-111.84115,3.7,3,gyms,0,43169.05368450218,49811.0,66262.0,5814.0,23.8,11.672120615928208
Planet Fitness,84321,41.71356847667204,-111.83627518532002,1.7,32,gyms,0,42520.79981766644,49811.0,66262.0,5814.0,23.8,11.672120615928208
James Barrett FITT Fusion Studio,83204,42.86546023251635,-112.45070620485184,5.0,4,yoga,0,134883.70737712822,,,,,
Smithfield Recreation Center,84335,41.8240749,-111.8256454,3.3,8,recreation,0,36093.99652217637,16278.0,90774.0,2510.0,28.2,15.419584715567023
Yoga Booty,83201,42.889397,-112.384663,5.0,7,yoga,0,133628.89699151576,,,,,
Elevate Fitness Pocatello,83201,42.879086102816984,-112.45767959629518,3.5,8,gyms,0,136413.88051106938,,,,,
Peak Fitness,83110,42.7004781574723,-110.933001566726,4.8,4,gyms,0,94561.77902850059,,,,,
Forge Training and Performance,84321,41.715011,-111.838518,5.0,1,gyms,0,43511.9723634061,49811.0,66262.0,5814.0,23.8,11.672120615928208
The Barre Pocatello,83201,42.88883,-112.45212,4.0,4,barreclasses,0,136988.13613530833,,,,,
High Point Gymnastics,84341,41.7619313299656,-111.828896552324,5.0,1,gyms,0,39215.45425331485,25791.0,64045.0,3239.0,25.6,12.558644488387422
Beehive Fitness,84302,41.49653,-112.01717,5.0,1,gyms,0,69464.1250006394,26711.0,75247.0,3618.0,34.3,13.544981468308936
North Ogden Yoga,84414,41.29478583,-111.96954567,5.0,2,yoga,0,84254.0291092363,33288.0,108345.0,5251.0,33.3,15.774453256428744
Applied Movements,83201,42.8861218,-112.4337648,5.0,1,healthtrainers,0,135795.43339124203,,,,,
Colossal Fight Company,83204,42.85873,-112.44623,5.0,2,martialarts,0,134074.2142126797,,,,,
Pocatello Jiu Jitsu,83201,42.88889,-112.452452,5.0,2,brazilianjiujitsu,0,136989.13391943584,,,,,
Athletic Performance Specialists of Idaho,83201,42.88715,-112.45262,5.0,1,gyms,0,136834.50755913087,,,,,
Snap Fitness 24/7-North Ogden,84414,41.30102635630923,-111.96999959386577,3.7,6,gyms,0,83702.3517557946,33288.0,108345.0,5251.0,33.3,15.774453256428744
Results Gym & Fitness,84337,41.7115073,-112.1744925,4.0,2,gyms,0,67699.66629139123,15452.0,73854.0,1179.0,29.3,7.63008024851152
KUBEX Fitness,84321,41.748745,-111.8386931,2.8,14,gyms,0,40637.01942722094,49811.0,66262.0,5814.0,23.8,11.672120615928208
Ellen Pulido,83246,42.619398526803856,-112.0092701,5.0,2,reiki,0,91435.59639468875,,,,,
HansenAthletics,83201,42.86903453233796,-112.446947162421,5.0,1,gyms,0,134995.1117704533,,,,,
Groll Family Fitness,83263,42.0898905,-111.8730048,2.8,4,gyms,0,42337.445019718616,,,,,
Studio Reve Pilates,84414,41.30101,-111.97,5.0,1,pilates,0,83702.83479011153,33288.0,108345.0,5251.0,33.3,15.774453256428744
Gold's Gym,83202,42.907949,-112.450264,2.6,25,gyms,0,138531.67229743654,,,,,
Elevated Fitness,84404,41.328857,-112.033741,4.0,1,gyms,0,84291.5349986168,65875.0,81917.0,6367.0,34.0,9.66527514231499
Strong Body Training,83201,42.88318,-112.43949,5.0,1,healthtrainers,0,135826.0837421144,,,,,
Q-Fit Training Zone,84414,41.29411,-111.9677,0.0,0,healthtrainers,0,84214.8235109155,33288.0,108345.0,5251.0,33.3,15.774453256428744
Transcend Yoga,84321,41.73108,-111.83294,0.0,0,yoga,0,41229.1091976182,49811.0,66262.0,5814.0,23.8,11.672120615928208
The Body Shop,84340,41.4245968,-112.0361817,3.0,2,gyms,0,76288.4710681509,3386.0,103194.0,556.0,38.5,16.420555227406968
Lynn R. Myers White Tiger Kenpo Karate,84321,41.75534,-111.834318,0.0,0,karate,0,39964.37817813348,49811.0,66262.0,5814.0,23.8,11.672120615928208
Replace and Recover Fitness,84341,41.76366806,-111.82370758,0.0,0,healthtrainers,0,36096.957536598726,25791.0,64045.0,3239.0,25.6,12.558644488387422
D Fitness,83246,42.60683182253911,-112.0208615,0.0,0,gyms,0,90788.73159872628,,,,,
Jazzercise - Pleasant View,84404,41.307756698921146,-112.01508598226016,0.0,0,dancestudio,0,85235.45044218341,65875.0,81917.0,6367.0,34.0,9.66527514231499
