id,name,zip_code,city,latitude,longitude,rating,review_count,category,distance,is_closed,has_hours,has_transactions,price,total_pop,median_income,median_age,median_home_value,total_households,pct_bachelors,pct_prime_gym_age,competition_1km,competition_3km,competition_5km,is_thriving,log_review_count,success_score,gyms_in_zip,market_gap
d1Q2hrpXEb3h6cXjPIXBew,MP USA,84404,Ogden,41.23654,-111.97834,5.0,1,martialarts,,0,1,0,0,66587.0,85057.0,34.3,396800.0,23330.0,10.85647348581555,21.90818027542914,2,13,24,,0.6931471805599453,0.5640951693284909,9,145880.0
GAnywCaQRcxeEQyeGhrKGQ,MOD Taekwondo Elite - Roy,84067,Roy,41.1575833,-112.026465,0.0,0,martialarts,3042.7648785964293,0,0,0,0,38794.0,91115.0,33.0,382600.0,13072.0,10.398515234314583,23.570655255967417,6,11,22,,0.0,0.0,13,65314.28571428572
LX16sRowV6ZkMD8zrcDAIg,American Health & Fitness,84067,Roy,41.165599822998,-112.027557373047,0.0,0,gyms,2340.3075624438184,0,0,0,0,38794.0,91115.0,33.0,382600.0,13072.0,10.398515234314583,23.570655255967417,4,10,22,,0.0,0.0,13,65314.28571428572
tpQkyr9epYmPlT4M8HgkDw,Brooke's Innovative Services,84401,Ogden,41.227202,-111.96851,3.0,2,massage_therapy,,0,1,0,0,48303.0,80758.0,31.5,439900.0,17826.0,11.752893195039645,26.675361778771506,6,15,23,,1.0986122886681098,0.401588439863031,19,64425.0
Fi7S8YgsHaSDbeYiF_NDIQ,Ninja Warehouse,84401,Ogden,41.2079811,-111.979393,3.8,4,gyms,,0,0,0,0,48303.0,80758.0,31.5,439900.0,17826.0,11.752893195039645,26.675361778771506,1,17,26,,1.6094379124341003,0.5288243744103859,19,64425.0
foKhpLtMyczgLZgVX_xzsQ,Rocky Mountain Athletic Center,84067,Roy,41.1548042297363,-112.027671813965,0.0,0,gyms,3229.9092940016126,0,0,0,0,38794.0,91115.0,33.0,382600.0,13072.0,10.398515234314583,23.570655255967417,4,12,23,,0.0,0.0,13,65314.28571428572
w0PHE2q1n5371H5rkyqxBg,Planet Fitness,84403,Ogden,41.19149167264029,-111.97273021224817,2.5,32,healthtrainers,,0,1,0,0,37721.0,88236.0,34.8,422900.0,14033.0,14.689430290819438,25.150446700776758,1,9,26,0.0,3.4965075614664802,0.573321295239924,14,63246.66666666667
cXG8qG9MsnK6XKTHlkBZ5A,Team Crazy Fit,84401,West Haven,41.21034,-112.04699,0.0,0,healthtrainers,2684.0721986436533,0,0,0,0,48303.0,80758.0,31.5,439900.0,17826.0,11.752893195039645,26.675361778771506,0,3,10,,0.0,0.0,19,64425.0
n_fP2rPbvKFFdem8GrkRIQ,Thrive on the Basic,84401,West Haven,41.2220306396484,-112.029510498047,0.0,0,healthtrainers,2684.0721986436533,0,0,0,0,48303.0,80758.0,31.5,439900.0,17826.0,11.752893195039645,26.675361778771506,1,4,17,,0.0,0.0,19,64425.0
xXao7l6AlaYvWlJOfPTf6w,Iron Sharpens Iron,84401,Odgen,41.211503258973785,-112.00489166183164,0.0,0,gyms,5186.233041645922,0,0,0,0,48303.0,80758.0,31.5,439900.0,17826.0,11.752893195039645,26.675361778771506,0,10,26,,0.0,0.0,19,64425.0
rC56M0TcAPzgazyxQquyQA,Irock Climbing Wall,84401,Ogden,41.22554,-111.97168,2.0,4,gyms,,0,0,0,0,48303.0,80758.0,31.5,439900.0,17826.0,11.752893195039645,26.675361778771506,8,17,25,,1.6094379124341003,0.3488243744103859,19,64425.0
2sp3uqYlw9Xa_0mfGAqHcg,The Refinery Gym,84070,Sandy,40.57909442005868,-111.9092947371282,3.7,3,gyms,,0,1,0,0,30472.0,78991.0,32.3,461900.0,11540.0,14.882515095825678,23.601995274350223,3,18,51,,1.3862943611198906,0.4981903386569819,15,44950.0
rUVt3rNKdsRS00kZ6DI8eA,Amplified Fitness,84070,Sandy,40.57905,-111.90907,2.8,21,healthtrainers,,0,1,0,0,30472.0,78991.0,32.3,461900.0,11540.0,14.882515095825678,23.601995274350223,3,18,51,0.0,3.091042453358316,0.565828024705384,15,44950.0
ciB4Ftw1o8vfGJd8cxatPw,Freedom Fitness Boot Camp,84094,Sandy,40.5815761,-111.8708899,5.0,3,bootcamps,,0,1,0,0,27507.0,106732.0,36.5,528700.0,9714.0,19.111498891191335,21.372741483985894,7,20,49,,1.3862943611198906,0.6281903386569818,12,45223.07692307692
CSftVP0Yd5dVGMc6OtCmpg,US Taekwondo,84070,Sandy,40.55691782264351,-111.89017600327936,5.0,3,taekwondo,,0,1,0,0,30472.0,78991.0,32.3,461900.0,11540.0,14.882515095825678,23.601995274350223,1,16,51,,1.3862943611198906,0.6281903386569818,15,44950.0
