category_group,price,median_income,median_home_value,median_age,pct_bachelors,pct_prime_gym_age,total_pop,competition_1km,competition_3km,market_gap,gym_density_per_1k,income_per_competitor,is_thriving,id,name,zip_code,latitude,longitude
other,0,61425.0,359600.0,33.6,8.663535439795048,23.441502988898375,23420.0,2,42,109800.0,0.1707941929974381,1428.4883720930231,1.0,ucwOem5C_JcD7JrikTlhjg,Glow,84104,40.7500965996555,-111.9123272
mind_body,0,101551.0,567900.0,35.4,25.624059296282624,29.804333626785564,35213.0,15,53,28364.864864864863,1.0223497003947406,1880.5740740740741,1.0,Bb8-oxlLt88UlrzK6wQlaQ,Lila Studio,84106,40.725663,-111.863229
general_gym,0,102445.0,526300.0,32.8,19.112030893302897,22.3848435066459,46871.0,9,22,47690.90909090909,0.4480382325958482,4454.130434782609,0.0,Li6CtwWPTXLlE6c2SgdGkg,VASA Fitness - Bountiful,84010,40.875152,-111.886589
mind_body,0,120854.0,838600.0,33.6,22.885216614560072,29.28539526574363,22390.0,5,16,72855.55555555556,0.35730236712818225,7109.058823529412,1.0,SV4gDjI8DWU5eiAKcmV6tw,CorePower Yoga - Foothill,84108,40.73873495543427,-111.82538895826644
climbing_outdoor,0,72735.0,499300.0,31.8,23.89937106918239,48.15051700245176,9381.0,15,48,19639.130434782608,2.3451657605798957,1484.3877551020407,1.0,dV6X2M5H_Y3Tk2L-OKToIQ,Bouldering Project - The Granary,84101,40.75495,-111.90287
mind_body,0,52952.0,440200.0,32.6,25.77843842904084,44.10107964324832,12782.0,9,62,37580.0,1.095290251916758,840.5079365079365,1.0,3KzaIg4IidGPwJkSr5NQTA,Maven Strong,84111,40.75012657565747,-111.88660744306968
other,0,101551.0,567900.0,35.4,25.624059296282624,29.804333626785564,35213.0,10,53,28364.864864864863,1.0223497003947406,1880.5740740740741,1.0,0o0C5BCQWSPdu38vkj7OkA,Rebel House,84106,40.722452744906654,-111.87144754070454
mind_body,0,99562.0,686100.0,35.0,25.20965476139798,30.445702609510025,23491.0,11,40,55015.38461538461,0.5108339364011749,2428.3414634146343,1.0,wqsR4bDDV_frkHbQs2hXfA,Seek Studio,84105,40.7313623286872,-111.8599823
mind_body,0,120854.0,838600.0,33.6,22.885216614560072,29.28539526574363,22390.0,3,24,72855.55555555556,0.35730236712818225,4834.16,1.0,tBSMjAjycSiePXIn7NAR5Q,Total Body Pilates,84108,40.7262374,-111.82475
general_gym,0,52199.0,548700.0,29.4,20.48250519252277,52.65484369175054,18777.0,14,59,109855.55555555556,0.4260531501304788,869.9833333333333,1.0,O0zwaHiBc_3JoJRDkqMHNQ,Orangetheory Fitness,84102,40.75745,-111.87357
other,0,65548.0,434700.0,33.0,15.275950418946058,34.35703898621979,28882.0,1,44,52226.31578947369,0.6232255383976179,1456.6222222222223,1.0,TlnNVgPMdmv6fyV1Kh5TGw,The Front Climbing Club - Salt Lake City,84115,40.73783246834809,-111.90276493230492
mind_body,0,52199.0,548700.0,29.4,20.48250519252277,52.65484369175054,18777.0,14,59,109855.55555555556,0.4260531501304788,869.9833333333333,1.0,PKEFzsT02Uhm-vgJO3HfEw,CorePower Yoga - Trolley Square,84102,40.75767978988558,-111.87355664397144
martial_arts,0,101551.0,567900.0,35.4,25.624059296282624,29.804333626785564,35213.0,13,50,28364.864864864863,1.0223497003947406,1991.1960784313726,1.0,1PXsk1GNSsHOZpf6Kjo_Tw,TITLE Boxing Club,84106,40.725845,-111.869864
mind_body,0,99562.0,686100.0,35.0,25.20965476139798,30.445702609510025,23491.0,2,56,55015.38461538461,0.5108339364011749,1746.701754385965,1.0,xo79B7SHpD7vrv2nwWhD8g,Centered City Yoga,84105,40.74961274056896,-111.86470183754794
general_gym,0,101551.0,567900.0,35.4,25.624059296282624,29.804333626785564,35213.0,2,50,28364.864864864863,1.0223497003947406,1991.1960784313726,1.0,r-xqdtxCVDrR7MBH43jkNw,X365 Fitness,84106,40.71368338878701,-111.8559969
general_gym,0,99562.0,686100.0,35.0,25.20965476139798,30.445702609510025,23491.0,4,52,55015.38461538461,0.5108339364011749,1878.5283018867924,1.0,KAcsFyJNH2N7m4yl9i6EYA,F45 Training Sugarhouse,84105,40.726107588206,-111.847806
mind_body,0,101551.0,567900.0,35.4,25.624059296282624,29.804333626785564,35213.0,11,54,28364.864864864863,1.0223497003947406,1846.3818181818183,1.0,claJBPHhTbu7rmy79_zpsA,YogaSix Sugarhouse,84106,40.72392,-111.85918
mind_body,0,120854.0,838600.0,33.6,22.885216614560072,29.28539526574363,22390.0,4,22,72855.55555555556,0.35730236712818225,5254.521739130435,1.0,3oqOtvDs6OmS3FN48CIUgA,Salt Lake Lagree,84108,40.74113936595315,-111.83105452727987
general_gym,0,95519.0,417100.0,32.2,11.378321171948976,23.19250264579736,71812.0,1,7,104093.75,0.20887873892942682,11939.875,1.0,QIqLgzyYeu2c4jkaRfS4jg,Anytime Fitness,84015,41.13902478456726,-112.06049248635304
other,0,80758.0,439900.0,31.5,11.752893195039643,26.675361778771503,48303.0,6,14,64425.0,0.39335030950458566,5383.866666666667,1.0,XOL-h9wnoethprvLaGPRew,The Front Climbing Club - Ogden,84401,41.2309700549802,-111.975291376275
mind_body,0,80758.0,439900.0,31.5,11.752893195039643,26.675361778771503,48303.0,6,19,64425.0,0.39335030950458566,4037.9,1.0,OQiXqvJNZr1j7gaS3zWqvA,Higher Ground Hot Yoga,84401,41.22061,-111.97826
other,0,95519.0,417100.0,32.2,11.378321171948976,23.19250264579736,71812.0,0,13,104093.75,0.20887873892942682,6822.785714285715,0.0,Qt6syJvPi5b_5D9HVd4M_g,VASA Fitness - Clinton,84015,41.1521753,-112.0624408
