category_group,price,median_income,median_home_value,median_age,pct_bachelors,pct_prime_gym_age,total_pop,competition_1km,competition_3km,market_gap,gym_density_per_1k,income_per_competitor,success_score,id,name,zip_code,latitude,longitude
general_gym,0,114833.0,488600.0,33.3,15.946292305003787,18.6025514067688,34334.0,1,13,45621.42857142857,0.3786334245936972,8202.357142857143,0.0,gfqPlBnU44To9PC0Ii7Gyg,Snap Fitness,84414,41.30723426464981,-111.98750239155495
other,0,114833.0,488600.0,33.3,15.946292305003787,18.6025514067688,34334.0,4,12,45621.42857142857,0.3786334245936972,8833.307692307691,0.0,KNYlxXymmdMbQHxSFcLlqg,Deborah's Coaching,84414,41.30718167,-111.97091167
mind_body,0,114833.0,488600.0,33.3,15.946292305003787,18.6025514067688,34334.0,6,14,45621.42857142857,0.3786334245936972,7655.533333333334,0.0,RyjL7bPHehnUiTxk4tHITQ,Yoga Jos Studio,84414,41.2967834472656,-111.968307495117
mind_body,0,114833.0,488600.0,33.3,15.946292305003787,18.6025514067688,34334.0,4,12,45621.42857142857,0.3786334245936972,8833.307692307691,0.0,4NPitQO50FTpVTM8ZdnohA,Club Pilates,84414,41.30584801,-111.97029061
personal_training,0,114833.0,488600.0,33.3,15.946292305003787,18.6025514067688,34334.0,7,14,45621.42857142857,0.3786334245936972,7655.533333333334,0.0,3CEY4o_Fxa_GL3JYUo5ofA,Will Harris Q Fit Training Zone,84414,41.29436236576854,-111.96761732709032
personal_training,0,114833.0,488600.0,33.3,15.946292305003787,18.6025514067688,34334.0,4,12,45621.42857142857,0.3786334245936972,8833.307692307691,0.0,RWReB37rlVkT2QFYOdMv6w,Altitude Fitness and Health,84414,41.30585,-111.96482
other,0,114833.0,488600.0,33.3,15.946292305003787,18.6025514067688,34334.0,7,14,45621.42857142857,0.3786334245936972,7655.533333333334,0.0,tbcIG2IQegmn8af1fvrf1Q,The Cannery Center,84414,41.2947700965411,-111.969135019372
general_gym,0,108304.0,498000.0,37.9,14.316239316239315,15.491452991452991,3744.0,0,0,29000.0,0.26709401709401714,108304.0,0.401588439863031,_r9zYH6UHYHOYrpziKowVQ,The Body Shop,84340,41.4245968,-112.0361817
personal_training,0,90252.0,455800.0,28.7,14.914243102162567,23.669456182506146,36207.0,1,4,47611.11111111111,0.4695224680310437,18050.4,0.6656836091915219,upp_NpTTcBbeetcDEe3h3Q,Rxfit Gym - Springville,84663,40.15639309956496,-111.65502200555726
mind_body,0,68444.0,549400.0,40.6,18.25224374114313,20.746339159187528,10585.0,7,11,14639.999999999998,1.3226263580538498,5703.666666666667,0.7204128142734169,gImsCGfVkdvmq6-ZJYYDKQ,Moab Yoga,84532,38.573315218091,-109.550013318658
mind_body,0,68444.0,549400.0,40.6,18.25224374114313,20.746339159187528,10585.0,1,9,14639.999999999998,1.3226263580538498,6844.4,0.6799378890944546,bfGw3bIq5UZXQl6Qpk58bg,Desert Power Yoga,84532,38.5796551,-109.5608767
general_gym,0,68444.0,549400.0,40.6,18.25224374114313,20.746339159187528,10585.0,1,9,14639.999999999998,1.3226263580538498,6844.4,0.6229195437388768,lh1hLymIe5eJVAdIqX2j6g,South Town Gym,84532,38.55676659252785,-109.5420996233599
general_gym,0,68444.0,549400.0,40.6,18.25224374114313,20.746339159187528,10585.0,1,9,14639.999999999998,1.3226263580538498,6844.4,0.6281903386569818,jwtTmM6-WOpLYNlxf4Xm7w,The Gym On 5th,84532,38.57968631233634,-109.5609095
other,0,68444.0,549400.0,40.6,18.25224374114313,20.746339159187528,10585.0,7,11,14639.999999999998,1.3226263580538498,5703.666666666667,0.5640951693284909,2YxszkCcLk-8EO7V2kUZ8A,M C's Healing Arts,84532,38.572269670654926,-109.55100038969256
climbing_outdoor,0,68444.0,549400.0,40.6,18.25224374114313,20.746339159187528,10585.0,0,0,14639.999999999998,1.3226263580538498,68444.0,0.0,VBiuVdauuM7tQUDKRGHzvA,Climb Moab Gym,84532,38.49402347517685,-109.4689751
general_gym,0,68444.0,549400.0,40.6,18.25224374114313,20.746339159187528,10585.0,5,11,14639.999999999998,1.3226263580538498,5703.666666666667,0.0,ctRsXzt3liEzeY4UvYyQnQ,Primitive Fitness,84532,38.568409,-109.5562286
martial_arts,0,68444.0,549400.0,40.6,18.25224374114313,20.746339159187528,10585.0,0,0,14639.999999999998,1.3226263580538498,68444.0,0.0,q2ZN-AHEyxdbaQQnyuAuzg,Devapatha Internal Arts,84532,38.54197,-109.50509
other,0,68444.0,549400.0,40.6,18.25224374114313,20.746339159187528,10585.0,6,11,14639.999999999998,1.3226263580538498,5703.666666666667,0.0,RJl-jrEM7Qy9WciQECTB0A,Rize Training Studio,84532,38.568061,-109.543148
martial_arts,0,68444.0,549400.0,40.6,18.25224374114313,20.746339159187528,10585.0,7,11,14639.999999999998,1.3226263580538498,5703.666666666667,0.0,yC-EdIN3TqT6WIB1ps7hvA,Phoenix Rising Center,84532,38.5721732676029,-109.550844803452
mind_body,0,68444.0,549400.0,40.6,18.25224374114313,20.746339159187528,10585.0,7,11,14639.999999999998,1.3226263580538498,5703.666666666667,0.0,uZ8EVMFv49rza1QbUOna4w,Yoga on the Rocks,84532,38.5700149536133,-109.550941467285
mind_body,0,68444.0,549400.0,40.6,18.25224374114313,20.746339159187528,10585.0,7,11,14639.999999999998,1.3226263580538498,5703.666666666667,0.0,eyWt_ZyCq8Tf5SBuyS2ItA,Red Rock Pilates,84532,38.5727615,-109.5494537
other,0,68444.0,549400.0,40.6,18.25224374114313,20.746339159187528,10585.0,1,9,14639.999999999998,1.3226263580538498,6844.4,0.0,Xq6zAz3urKdlRfzHZVY9EQ,Breaking Barriers Training Systems,84532,38.556675,-109.542119
general_gym,0,68444.0,549400.0,40.6,18.25224374114313,20.746339159187528,10585.0,6,11,14639.999999999998,1.3226263580538498,5703.666666666667,0.0,SlpIczVdfT618HisXS7UAw,Center Street Gym,84532,38.573629379578655,-109.5468591
personal_training,0,67207.0,403500.0,25.9,12.932261057841016,37.30900092793071,32330.0,0,9,301550.0,0.09279307145066502,6720.7,0.6281903386569818,iAdMpEle7rF9GS0cUUhEtg,Rxfit Gym - Provo,84601,40.239463,-111.6617671
general_gym,0,52811.0,443600.0,23.1,12.022975623423928,62.85514149621743,35690.0,2,6,280412.5,0.1961333706920706,7544.428571428572,0.570461971926304,8enPIfKhnbQWUlNNtTAwRg,VASA Fitness - Provo,84606,40.2402918,-111.6421309
general_gym,0,90252.0,455800.0,28.7,14.914243102162567,23.669456182506146,36207.0,1,4,47611.11111111111,0.4695224680310437,18050.4,0.5640951693284909,NuldfVS7yW8B_hN6OMeLvA,Utah Iron Gym,84663,40.1566804,-111.6572106
general_gym,0,104355.0,489000.0,28.3,15.381923718173024,20.34044830496264,48583.0,6,13,61762.5,0.3087499742708355,7453.928571428572,0.6288243744103859,v7rSFPFOoPNgE02d2wkRtQ,Sports Performance Academy,84660,40.1221511,-111.6375426
martial_arts,0,90252.0,455800.0,28.7,14.914243102162567,23.669456182506146,36207.0,2,13,47611.11111111111,0.4695224680310437,6446.571428571428,0.6281903386569818,-kybX0aUIjiXvmGsWMfYgw,Omega Martial Arts,84663,40.1783416,-111.6107859
general_gym,0,75571.0,582000.0,23.4,14.24385442995504,44.41138971525712,44707.0,4,18,124093.75,0.33551792784127765,3977.4210526315787,0.4640951693284909,9ofs8S6-TNqasgC6uduNSw,Rock Canyon Crossfit,84604,40.2745206,-111.652120575769
